Player,Role,Amount,Team,Year,Player_Origin,Amount_Cr,Count,Repeated
HS Sharath,Bowler,1000000,Delhi Daredevils,2014,Indian,0.1,1,False
Imran Tahir,Bowler,10000000,Chennai Super Kings,2018,Overseas,1.0,1,False
Iqbal Abdullah,All-Rounder,6500000,Rajasthan Royals,2014,Indian,0.65,2,True
Iqbal Abdullah,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian,0.1,2,True
Irfan Pathan,All-Rounder,24000000,Sunrisers Hyderabad,2014,Indian,2.4,3,True
Irfan Pathan,All-Rounder,15000000,Chennai Super Kings,2015,Indian,1.5,3,True
Irfan Pathan,All-Rounder,10000000,Rising Pune Supergiant,2016,Indian,1.0,3,True
Ishan Kishan,Wicket Keeper,3500000,Gujarat Lions,2016,Indian,0.35,3,True
Ishan Kishan,Wicket Keeper,62000000,Mumbai Indians,2018,Indian,6.2,3,True
Ishan Kishan,Wicket Keeper,152500000,Mumbai Indians,2022,Indian,15.25,3,True
Ishan Porel,Bowler,2500000,Punjab Kings,2022,Indian,0.25,2,True
Ishan Porel,Bowler,2000000,Kings XI Punjab,2022,Indian,0.2,2,True
Ishank Jaggi,Batsman,1000000,Kolkata Knight Riders,2017,Indian,0.1,2,True
Ishank Jaggi,Batsman,2000000,Kolkata Knight Riders,2018,Indian,0.2,2,True
Ishant Sharma,Bowler,26000000,Sunrisers Hyderabad,2014,Indian,2.6,3,True
Ishant Sharma,Bowler,38000000,Rising Pune Supergiant,2016,Indian,3.8,3,True
Ishant Sharma,Bowler,11000000,Delhi Capitals,2019,Indian,1.1,3,True
Ishwar Chandra Pandey,Bowler,15000000,Chennai Super Kings,2014,Indian,1.5,2,True
Ishwar Chandra Pandey,Bowler,2000000,Rising Pune Supergiant,2016,Indian,0.2,2,True
Isuru Udana,All-Rounder,5000000,Royal Challengers Bangalore,2020,Overseas,0.5,1,False
J Suchith,Bowler,3000000,Sunrisers Hyderabad,2021,Indian,0.3,2,True
J Suchith,All-Rounder,1000000,Mumbai Indians,2015,Indian,0.1,2,True
Jacob Oram,All-Rounder,3750000,Mumbai Indians,2013,Overseas,0.375,1,False
Jacques Kallis,All-Rounder,55000000,Kolkata Knight Riders,2014,Overseas,5.5,1,False
Jagadeesha Suchith,Bowler,2000000,Sunrisers Hyderabad,2022,Indian,0.2,1,False
Jalaj Saxena,All-Rounder,9000000,Mumbai Indians,2014,Indian,0.9,4,True
Jalaj Saxena,All-Rounder,1000000,Royal Challengers Bangalore,2015,Indian,0.1,4,True
Jalaj Saxena,All-Rounder,2000000,Delhi Capitals,2019,Indian,0.2,4,True
Jalaj Saxena,All-Rounder,3000000,Punjab Kings,2021,Indian,0.3,4,True
James Faulkner,All-Rounder,30000000,Rajasthan Royals,2013,Overseas,3.0,1,False
James Neesham,All-Rounder,10000000,Delhi Daredevils,2014,Overseas,1.0,5,True
James Neesham,All-Rounder,5000000,Kolkata Knight Riders,2015,Overseas,0.5,5,True
James Neesham,All-Rounder,5000000,Kings XI Punjab,2020,Overseas,0.5,5,True
James Neesham,All-Rounder,5000000,Mumbai Indians,2021,Overseas,0.5,5,True
James Neesham,All-Rounder,15000000,Rajasthan Royals,2022,Overseas,1.5,5,True
Jaskaran Singh,Bowler,1000000,Rising Pune Supergiant,2016,Indian,0.1,1,False
Jason Behrendorff,Bowler,15000000,Mumbai Indians,2018,Overseas,1.5,2,True
Jason Behrendorff,Bowler,7500000,Royal Challengers Bangalore,2022,Overseas,0.75,2,True
Jason Holder,Bowler,1500000,Chennai Super Kings,2013,Overseas,0.15,4,True
Jason Holder,Bowler,7500000,Sunrisers Hyderabad,2014,Overseas,0.75,4,True
Jason Holder,All-Rounder,7000000,Kolkata Knight Riders,2016,Overseas,0.7,4,True
Jason Holder,All-Rounder,87500000,Lucknow Super Giants,2022,Overseas,8.75,4,True
Jason Roy,Batsman,10000000,Gujarat Lions,2017,Overseas,1.0,4,True
Jason Roy,Batsman,15000000,Delhi Daredevils,2018,Overseas,1.5,4,True
Jason Roy,Batsman,15000000,Delhi Capitals,2020,Overseas,1.5,4,True
Jason Roy,Batsman,20000000,Gujarat Titans,2022,Overseas,2.0,4,True
Jasprit Bumrah,Bowler,12000000,Mumbai Indians,2014,Indian,1.2,1,False
Jatin Saxena,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0.2,1,False
Javon Searless,All-Rounder,3000000,Kolkata Knight Riders,2018,Indian,0.3,1,False
Jayant Yadav,All-Rounder,1000000,Delhi Daredevils,2014,Indian,0.1,3,True
Jayant Yadav,All-Rounder,5000000,Delhi Daredevils,2018,Indian,0.5,3,True
Jayant Yadav,All-Rounder,17000000,Gujarat Titans,2022,Indian,1.7,3,True
Jaydev Shah,All-Rounder,2000000,Gujarat Lions,2016,Indian,0.2,1,False
Jaydev Unadkat,Bowler,39375000,Royal Challengers Bangalore,2013,Indian,3.9375,9,True
Jaydev Unadkat,Bowler,28000000,Delhi Daredevils,2014,Indian,2.8,9,True
Jaydev Unadkat,Bowler,11000000,Delhi Daredevils,2015,Indian,1.1,9,True
Jaydev Unadkat,Bowler,16000000,Kolkata Knight Riders,2016,Indian,1.6,9,True
Jaydev Unadkat,Bowler,3000000,Rising Pune Supergiant,2017,Indian,0.3,9,True
Jaydev Unadkat,Bowler,115000000,Rajasthan Royals,2018,Indian,11.5,9,True
Jaydev Unadkat,Bowler,84000000,Rajasthan Royals,2019,Indian,8.4,9,True
Jaydev Unadkat,Bowler,30000000,Rajasthan Royals,2020,Indian,3.0,9,True
Jaydev Unadkat,Bowler,13000000,Mumbai Indians,2022,Indian,1.3,9,True
Jean-Paul Duminy,Batsman,22000000,Delhi Daredevils,2014,Overseas,2.2,2,True
Jean-Paul Duminy,All-Rounder,10000000,Mumbai Indians,2018,Overseas,1.0,2,True
Jeevan Mendis,All-Rounder,3750000,Delhi Daredevils,2013,Overseas,0.375,1,False
Jesse Ryder,All-Rounder,19500000,Delhi Daredevils,2013,Overseas,1.95,1,False
Jhye Richardson,Bowler,140000000,Punjab Kings,2021,Overseas,14.0,1,False
Jitesh Sharma,Wicket Keeper,1000000,Mumbai Indians,2016,Indian,0.1,2,True
Jitesh Sharma,Wicket Keeper,2000000,Punjab Kings,2022,Indian,0.2,2,True
Joe Denly,Batsman,10000000,Kolkata Knight Riders,2019,Overseas,1.0,1,False
Joel Paris,Bowler,3000000,Delhi Daredevils,2016,Overseas,0.3,1,False
Jofra Archer,All-Rounder,72000000,Rajasthan Royals,2018,Overseas,7.2,2,True
Jofra Archer,All-Rounder,80000000,Mumbai Indians,2022,Overseas,8.0,2,True
Johan Botha,All-Rounder,33750000,Delhi Daredevils,2013,Overseas,3.375,1,False
John Hastings,All-Rounder,5000000,Chennai Super Kings,2014,Overseas,0.5,2,True
John Hastings,Bowler,13000000,Kolkata Knight Riders,2016,Overseas,1.3,2,True
Jonny Bairstow,Wicket Keeper,22000000,Sunrisers Hyderabad,2019,Overseas,2.2,2,True
Jonny Bairstow,Wicket Keeper,67500000,Punjab Kings,2022,Overseas,6.75,2,True
Jos Buttler,Wicket Keeper,38000000,Mumbai Indians,2016,Overseas,3.8,2,True
Jos Buttler,Wicket Keeper,44000000,Rajasthan Royals,2018,Overseas,4.4,2,True
Josh Hazlewood,Bowler,5000000,Mumbai Indians,2014,Overseas,0.5,3,True
Josh Hazlewood,Bowler,20000000,Chennai Super Kings,2020,Overseas,2.0,3,True
Josh Hazlewood,Bowler,77500000,Royal Challengers Bangalore,2022,Overseas,7.75,3,True
Joshua Philippe,Wicket Keeper,2000000,Royal Challengers Bangalore,2020,Overseas,0.2,1,False
Juan Theron,Bowler,3000000,Rajasthan Royals,2015,Overseas,0.3,1,False
Krishnappa Gowtham,All-Rounder,9000000,Lucknow Super Giants,2022,Indian,0.9,4,True
K.Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2021,Indian,0.2,2,True
K.Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2022,Indian,0.2,2,True
K.C Cariappa,Bowler,2000000,Rajasthan Royals,2021,Indian,0.2,2,True
K.C Cariappa,Bowler,3000000,Rajasthan Royals,2022,Indian,0.3,2,True
K.C. Cariappa,Bowler,24000000,Kolkata Knight Riders,2015,Indian,2.4,2,True
K.C. Cariappa,Bowler,8000000,Kings XI Punjab,2016,Indian,0.8,2,True
K.K. Jiyaz,Bowler,1000000,Delhi Daredevils,2015,Indian,0.1,1,False
K.M. Asif,Bowler,2000000,Chennai Super Kings,2022,Indian,0.2,1,False
K.S. Bharat,Wicket Keeper,20000000,Delhi Capitals,2022,Indian,2.0,1,False
Kagiso Rabada,Bowler,50000000,Delhi Daredevils,2017,Overseas,5.0,3,True
Kagiso Rabada,Bowler,42000000,Delhi Daredevils,2018,Overseas,4.2,3,True
Kagiso Rabada,Bowler,92500000,Punjab Kings,2022,Overseas,9.25,3,True
Kamlesh Nagarkoti,All-Rounder,32000000,Kolkata Knight Riders,2018,Indian,3.2,2,True
Kamlesh Nagarkoti,All-Rounder,11000000,Delhi Capitals,2022,Indian,1.1,2,True
Kane Richardson,Bowler,52500000,Pune Warriors India,2013,Overseas,5.25,4,True
Kane Richardson,Bowler,10000000,Rajasthan Royals,2014,Overseas,1.0,4,True
Kane Richardson,Bowler,20000000,Royal Challengers Bangalore,2016,Overseas,2.0,4,True
Kane Richardson,Bowler,40000000,Royal Challengers Bangalore,2020,Overseas,4.0,4,True
Kane Williamson,All-Rounder,6000000,Sunrisers Hyderabad,2015,Overseas,0.6,2,True
Kane Williamson,Batsman,30000000,Sunrisers Hyderabad,2018,Overseas,3.0,2,True
Kanishk Seth,All-Rounder,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
Karan Sharma,All-Rounder,2000000,Lucknow Super Giants,2022,Indian,0.2,1,False
Karanveer Singh,All-Rounder,1000000,Kings XI Punjab,2014,Indian,0.1,1,False
Karn Sharma,Bowler,37500000,Sunrisers Hyderabad,2014,Indian,3.75,4,True
Karn Sharma,All-Rounder,32000000,Mumbai Indians,2017,Indian,3.2,4,True
Karn Sharma,Bowler,50000000,Chennai Super Kings,2018,Indian,5.0,4,True
Karn Sharma,Bowler,5000000,Royal Challengers Bangalore,2022,Indian,0.5,4,True
Kartik Tyagi,Bowler,13000000,Rajasthan Royals,2020,Indian,1.3,2,True
Kartik Tyagi,Bowler,40000000,Sunrisers Hyderabad,2022,Indian,4.0,2,True
Karun Nair,Batsman,7500000,Rajasthan Royals,2014,Indian,0.75,5,True
Karun Nair,Batsman,40000000,Delhi Daredevils,2016,Indian,4.0,5,True
Karun Nair,Batsman,56000000,Kings XI Punjab,2018,Indian,5.6,5,True
Karun Nair,Batsman,5000000,Kolkata Knight Riders,2021,Indian,0.5,5,True
Karun Nair,Batsman,14000000,Rajasthan Royals,2022,Indian,1.4,5,True
Kedar Jadhav,Batsman,20000000,Delhi Daredevils,2014,Indian,2.0,3,True
Kedar Jadhav,All-Rounder,78000000,Chennai Super Kings,2018,Indian,7.8,3,True
Kedar Jadhav,All-Rounder,20000000,Sunrisers Hyderabad,2021,Indian,2.0,3,True
Keemo Paul,All-Rounder,5000000,Delhi Capitals,2019,Overseas,0.5,1,False
Kevin Pietersen,Batsman,90000000,Delhi Daredevils,2014,Overseas,9.0,3,True
Kevin Pietersen,Batsman,20000000,Sunrisers Hyderabad,2015,Overseas,2.0,3,True
Kevin Pietersen,Batsman,35000000,Rising Pune Supergiant,2016,Overseas,3.5,3,True
Kevon Cooper,All-Rounder,3000000,Rajasthan Royals,2014,Overseas,0.3,1,False
Kieron Pollard,All-Rounder,54000000,Mumbai Indians,2018,Overseas,5.4,1,False
Kishore Pramod Kamath,All-Rounder,14000000,Mumbai Indians,2016,Indian,1.4,1,False
KL Rahul,Batsman,10000000,Sunrisers Hyderabad,2014,Indian,1.0,2,True
KL Rahul,Batsman,110000000,Kings XI Punjab,2018,Indian,11.0,2,True
Kona Srikar Bharat,Wicket Keeper,1000000,Delhi Daredevils,2015,Indian,0.1,2,True
Kona Srikar Bharat,Wicket Keeper,2000000,Royal Challengers Bangalore,2021,Indian,0.2,2,True
Krishnappa Gowtham,All-Rounder,20000000,Mumbai Indians,2017,Indian,2.0,4,True
Krishnappa Gowtham,Bowler,62000000,Rajasthan Royals,2018,Indian,6.2,4,True
Krishnappa Gowtham,All-Rounder,92500000,Chennai Super Kings,2021,Indian,9.25,4,True
Krismar Santokie,Bowler,3000000,Mumbai Indians,2014,Overseas,0.3,1,False
Krunal Pandya,All-Rounder,20000000,Mumbai Indians,2016,Indian,2.0,3,True
Krunal Pandya,All-Rounder,88000000,Mumbai Indians,2018,Indian,8.8,3,True
Krunal Pandya,All-Rounder,82500000,Lucknow Super Giants,2022,Indian,8.25,3,True
Kshitiz Sharma,All-Rounder,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
Kuldeep Sen,Bowler,2000000,Rajasthan Royals,2022,Indian,0.2,1,False
Kuldeep Yadav,Bowler,4000000,Kolkata Knight Riders,2014,Indian,0.4,3,True
Kuldeep Yadav,Bowler,58000000,Kolkata Knight Riders,2018,Indian,5.8,3,True
Kuldeep Yadav,Bowler,20000000,Delhi Capitals,2022,Indian,2.0,3,True
Kuldip Yadav,Bowler,2000000,Rajasthan Royals,2021,Indian,0.2,2,True
Kuldip Yadav,Bowler,2000000,Rajasthan Royals,2022,Indian,0.2,2,True
Kulwant Khejroliya,Bowler,1000000,Mumbai Indians,2017,Indian,0.1,2,True
Kulwant Khejroliya,Bowler,8500000,Royal Challengers Bangalore,2018,Indian,0.85,2,True
Kusal Janith Perera,Wicket Keeper,1500000,Rajasthan Royals,2013,Indian,0.15,1,False
Kyle Abbott,Bowler,3000000,Chennai Super Kings,2015,Overseas,0.3,2,True
Kyle Abbott,Bowler,21000000,Kings XI Punjab,2016,Overseas,2.1,2,True
Kyle Jamieson,All-Rounder,150000000,Royal Challengers Bangalore,2021,Overseas,15.0,1,False
Kyle Mayers,All-Rounder,5000000,Lucknow Super Giants,2022,Overseas,0.5,1,False
Lakshmipathy Balaji,Bowler,18000000,Kings XI Punjab,2014,Indian,1.8,1,False
Lalit Yadav,All-Rounder,2000000,Delhi Capitals,2020,Indian,0.2,2,True
Lalit Yadav,All-Rounder,6500000,Delhi Capitals,2022,Indian,0.65,2,True
Lasith Malinga,Bowler,20000000,Mumbai Indians,2019,Overseas,2.0,1,False
Laxmi Ratan Shukla,All-Rounder,15000000,Delhi Daredevils,2014,Indian,1.5,2,True
Laxmi Ratan Shukla,All-Rounder,3000000,Sunrisers Hyderabad,2015,Indian,0.3,2,True
Liam Livingstone,All-Rounder,5000000,Rajasthan Royals,2019,Overseas,0.5,3,True
Liam Livingstone,All-Rounder,7500000,Rajasthan Royals,2021,Overseas,0.75,3,True
Liam Livingstone,All-Rounder,115000000,Punjab Kings,2022,Overseas,11.5,3,True
Lockie Ferguson,Bowler,5000000,Rising Pune Supergiant,2017,Overseas,0.5,3,True
Lockie Ferguson,Bowler,16000000,Kolkata Knight Riders,2019,Overseas,1.6,3,True
Lockie Ferguson,Bowler,100000000,Gujarat Titans,2022,Overseas,10.0,3,True
Luke Pomersbach,Batsman,22500000,Kings XI Punjab,2013,Overseas,2.25,1,False
Lukman Hussain Meriwala,Bowler,2000000,Delhi Capitals,2021,Indian,0.2,1,False
Lungisani Ngidi,Bowler,5000000,Chennai Super Kings,2018,Overseas,0.5,2,True
Lungisani Ngidi,Bowler,5000000,Delhi Capitals,2022,Overseas,0.5,2,True
Luvnith Sisodia,Wicket Keeper,2000000,Royal Challengers Bangalore,2022,Indian,0.2,1,False
M Siddharth,Bowler,2000000,Kolkata Knight Riders,2020,Indian,0.2,2,True
M Siddharth,Bowler,2000000,Delhi Capitals,2021,Indian,0.2,2,True
M. Ashwin,Bowler,45000000,Rising Pune Supergiant,2016,Indian,4.5,4,True
M. Ashwin,Bowler,10000000,Delhi Daredevils,2017,Indian,1.0,4,True
M. Ashwin,Bowler,22000000,Royal Challengers Bangalore,2018,Indian,2.2,4,True
M. Ashwin,Bowler,2000000,Kings XI Punjab,2019,Indian,0.2,4,True
M. Harisankar Reddy,Bowler,2000000,Chennai Super Kings,2021,Indian,0.2,1,False
Washington Sundar,All-Rounder,32000000,Royal Challengers Bangalore,2018,Indian,3.2,2,True
Maheesh Theekshana,Bowler,7000000,Chennai Super Kings,2022,Overseas,0.7,1,False
Mahipal Lomror,All-Rounder,1000000,Delhi Daredevils,2016,Indian,0.1,3,True
Mahipal Lomror,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0.2,3,True
Mahipal Lomror,All-Rounder,9500000,Royal Challengers Bangalore,2022,Indian,0.95,3,True
Manan Ajay Sharma,All-Rounder,1000000,Kolkata Knight Riders,2016,Indian,0.1,1,False
Manan Vohra,Batsman,11000000,Royal Challengers Bangalore,2018,Indian,1.1,3,True
Manan Vohra,Batsman,2000000,Rajasthan Royals,2019,Indian,0.2,3,True
Manan Vohra,Batsman,2000000,Lucknow Super Giants,2022,Indian,0.2,3,True
Mandeep Hardev Singh,All-Rounder,8000000,Kings XI Punjab,2014,Indian,0.8,1,False
Mandeep Singh,All-Rounder,14000000,Royal Challengers Bangalore,2018,Indian,1.4,2,True
Mandeep Singh,Batsman,11000000,Delhi Capitals,2022,Indian,1.1,2,True
Manish Pandey,Batsman,17000000,Kolkata Knight Riders,2014,Indian,1.7,3,True
Manish Pandey,Batsman,110000000,Sunrisers Hyderabad,2018,Indian,11.0,3,True
Manish Pandey,Batsman,46000000,Lucknow Super Giants,2022,Indian,4.6,3,True
Manjot Kalra,Batsman,2000000,Delhi Daredevils,2018,Indian,0.2,1,False
Manoj Tiwary,Batsman,28000000,Delhi Daredevils,2014,Indian,2.8,3,True
Manoj Tiwary,Batsman,5000000,Rising Pune Supergiant,2017,Indian,0.5,3,True
Manoj Tiwary,Batsman,10000000,Kings XI Punjab,2018,Indian,1.0,3,True
Manpreet Gony,Bowler,37500000,Kings XI Punjab,2013,Indian,3.75,2,True
Manpreet Gony,Bowler,6000000,Gujarat Lions,2017,Indian,0.6,2,True
Manprit Juneja,Batsman,1000000,Sunrisers Hyderabad,2014,Indian,0.1,1,False
Manvinder Bisla,Wicket Keeper,6000000,Kolkata Knight Riders,2014,Indian,0.6,1,False
Manzoor Dar,All-Rounder,2000000,Kings XI Punjab,2018,Indian,0.2,1,False
Marchant De Lange,Bowler,3000000,Mumbai Indians,2014,Overseas,0.3,1,False
Marco Jansen,All-Rounder,2000000,Mumbai Indians,2021,Overseas,0.2,2,True
Marco Jansen,All-Rounder,42000000,Sunrisers Hyderabad,2022,Overseas,4.2,2,True
Marcus Stoinis,All-Rounder,2500000,Delhi Daredevils,2015,Overseas,0.25,4,True
Marcus Stoinis,All-Rounder,5500000,Kings XI Punjab,2016,Overseas,0.55,4,True
Marcus Stoinis,All-Rounder,62000000,Kings XI Punjab,2018,Overseas,6.2,4,True
Marcus Stoinis,All-Rounder,48000000,Delhi Capitals,2020,Overseas,4.8,4,True
Mark Wood,Bowler,15000000,Chennai Super Kings,2018,Overseas,1.5,2,True
Mark Wood,Bowler,75000000,Lucknow Super Giants,2022,Overseas,7.5,2,True
Martin Guptill,Batsman,5000000,Kings XI Punjab,2017,Overseas,0.5,2,True
Martin Guptill,Batsman,10000000,Sunrisers Hyderabad,2019,Overseas,1.0,2,True
Matt Henry,Bowler,3000000,Chennai Super Kings,2014,Overseas,0.3,2,True
Matt Henry,Bowler,5000000,Kings XI Punjab,2017,Overseas,0.5,2,True
Matthew Wade,Wicket Keeper,24000000,Gujarat Titans,2022,Overseas,2.4,1,False
Mayank Agarwal,Batsman,16000000,Delhi Daredevils,2014,Indian,1.6,2,True
Mayank Agarwal,Batsman,10000000,Kings XI Punjab,2018,Indian,1.0,2,True
Mayank Dagar,All-Rounder,2000000,Kings XI Punjab,2018,Indian,0.2,1,False
Mayank Markande,Bowler,2000000,Mumbai Indians,2018,Indian,0.2,2,True
Mayank Markande,Bowler,6500000,Mumbai Indians,2022,Indian,0.65,2,True
Mayank Yadav,Bowler,2000000,Lucknow Super Giants,2022,Indian,0.2,1,False
Michael Clarke,Batsman,30000000,Pune Warriors India,2013,Overseas,3.0,1,False
Michael Hussey,Batsman,50000000,Mumbai Indians,2014,Overseas,5.0,2,True
Michael Hussey,Batsman,15000000,Chennai Super Kings,2015,Overseas,1.5,2,True
Midhun S,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0.2,1,False
Milind Kumar,Batsman,1000000,Delhi Daredevils,2014,Indian,0.1,2,True
Milind Kumar,All-Rounder,2000000,Royal Challengers Bangalore,2019,Indian,0.2,2,True
Milind Tandon,All-Rounder,1000000,Rising Pune Supergiant,2017,Indian,0.1,1,False
Mitchell Johnson,All-Rounder,65000000,Kings XI Punjab,2014,Overseas,6.5,3,True
Mitchell Johnson,Bowler,20000000,Mumbai Indians,2017,Overseas,2.0,3,True
Mitchell Johnson,Bowler,20000000,Kolkata Knight Riders,2018,Overseas,2.0,3,True
Mitchell Marsh,All-Rounder,48000000,Rising Pune Supergiant,2016,Overseas,4.8,3,True
Mitchell Marsh,All-Rounder,20000000,Sunrisers Hyderabad,2020,Overseas,2.0,3,True
Mitchell Marsh,All-Rounder,65000000,Delhi Capitals,2022,Overseas,6.5,3,True
Mitchell McClenaghan,Bowler,3000000,Mumbai Indians,2015,Overseas,0.3,1,False
Mitchell Santner,All-Rounder,5000000,Chennai Super Kings,2018,Overseas,0.5,2,True
Mitchell Santner,All-Rounder,19000000,Chennai Super Kings,2022,Overseas,1.9,2,True
Mitchell Starc,Bowler,50000000,Royal Challengers Bangalore,2014,Overseas,5.0,2,True
Mitchell Starc,Bowler,94000000,Kolkata Knight Riders,2018,Overseas,9.4,2,True
Mithun Manhas,All-Rounder,3000000,Chennai Super Kings,2014,Indian,0.3,1,False
Moeen Ali,All-Rounder,17000000,Royal Challengers Bangalore,2018,Overseas,1.7,2,True
Moeen Ali,All-Rounder,70000000,Chennai Super Kings,2021,Overseas,7.0,2,True
Mohammad Nabi,All-Rounder,3000000,Sunrisers Hyderabad,2017,Overseas,0.3,3,True
Mohammad Nabi,All-Rounder,10000000,Sunrisers Hyderabad,2018,Overseas,1.0,3,True
Mohammad Nabi,All-Rounder,10000000,Kolkata Knight Riders,2022,Overseas,1.0,3,True
Mohammad Shami,Bowler,42500000,Delhi Daredevils,2014,Indian,4.25,4,True
Mohammad Shami,Bowler,30000000,Delhi Daredevils,2018,Indian,3.0,4,True
Mohammad Shami,Bowler,48000000,Kings XI Punjab,2019,Indian,4.8,4,True
Mohammad Shami,Bowler,62500000,Gujarat Titans,2022,Indian,6.25,4,True
Mohammed Azharudeen,Wicket Keeper,2000000,Royal Challengers Bangalore,2021,Indian,0.2,1,False
Mohammed Siraj,Bowler,26000000,Sunrisers Hyderabad,2017,Indian,2.6,2,True
Mohammed Siraj,Bowler,26000000,Royal Challengers Bangalore,2018,Indian,2.6,2,True
Mohd. Arshad Khan,All-Rounder,2000000,Mumbai Indians,2022,Indian,0.2,1,False
Mohit Sharma,Bowler,20000000,Chennai Super Kings,2014,Indian,2.0,5,True
Mohit Sharma,Bowler,65000000,Kings XI Punjab,2016,Indian,6.5,5,True
Mohit Sharma,Bowler,24000000,Kings XI Punjab,2018,Indian,2.4,5,True
Mohit Sharma,Bowler,50000000,Chennai Super Kings,2019,Indian,5.0,5,True
Mohit Sharma,Bowler,5000000,Delhi Capitals,2020,Indian,0.5,5,True
Mohsin Khan,Bowler,2000000,Mumbai Indians,2018,Indian,0.2,3,True
Mohsin Khan,Bowler,2000000,Mumbai Indians,2020,Indian,0.2,3,True
Mohsin Khan,Bowler,2000000,Lucknow Super Giants,2022,Indian,0.2,3,True
Moises Henriques,All-Rounder,22500000,Royal Challengers Bangalore,2013,Overseas,2.25,4,True
Moises Henriques,All-Rounder,10000000,Sunrisers Hyderabad,2014,Overseas,1.0,4,True
Moises Henriques,All-Rounder,10000000,Kings XI Punjab,2019,Overseas,1.0,4,True
Moises Henriques,All-Rounder,42000000,Punjab Kings,2021,Overseas,4.2,4,True
Monu Singh,Bowler,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
Morne Morkel,Bowler,28000000,Kolkata Knight Riders,2014,Overseas,2.8,1,False
Mujeeb Zadran,Bowler,40000000,Kings XI Punjab,2018,Overseas,4.0,2,True
Mujeeb Zadran,Bowler,15000000,Sunrisers Hyderabad,2021,Overseas,1.5,2,True
Mukesh Choudhary,Bowler,2000000,Chennai Super Kings,2022,Indian,0.2,1,False
Munaf Patel,Bowler,3000000,Gujarat Lions,2017,Indian,0.3,1,False
Murali Kartik,Bowler,10000000,Kings XI Punjab,2014,Indian,1.0,1,False
Murali Vijay,Batsman,50000000,Delhi Daredevils,2014,Indian,5.0,3,True
Murali Vijay,Batsman,30000000,Kings XI Punjab,2015,Indian,3.0,3,True
Murali Vijay,Batsman,20000000,Chennai Super Kings,2018,Indian,2.0,3,True
Murugan Ashwin,Bowler,16000000,Mumbai Indians,2022,Indian,1.6,1,False
Mustafizur Rahman,Bowler,14000000,Sunrisers Hyderabad,2016,Overseas,1.4,4,True
Mustafizur Rahman,Bowler,22000000,Mumbai Indians,2018,Overseas,2.2,4,True
Mustafizur Rahman,Bowler,10000000,Rajasthan Royals,2021,Overseas,1.0,4,True
Mustafizur Rahman,Bowler,20000000,Delhi Capitals,2022,Overseas,2.0,4,True
Muttiah Muralitharan,Bowler,10000000,Royal Challengers Bangalore,2014,Overseas,1.0,1,False
N Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2018,Indian,0.2,1,False
N. Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2022,Indian,0.2,1,False
N. Tilak Varma,All-Rounder,17000000,Mumbai Indians,2022,Indian,1.7,1,False
Naman Ojha,Wicket Keeper,5000000,Sunrisers Hyderabad,2014,Indian,0.5,2,True
Naman Ojha,Wicket Keeper,14000000,Delhi Daredevils,2018,Indian,1.4,2,True
Nathan Coulter-Nile,Bowler,33750000,Mumbai Indians,2013,Overseas,3.375,7,True
Nathan Coulter-Nile,Bowler,42500000,Delhi Daredevils,2014,Overseas,4.25,7,True
Nathan Coulter-Nile,Bowler,35000000,Kolkata Knight Riders,2017,Overseas,3.5,7,True
Nathan Coulter-Nile,Bowler,22000000,Royal Challengers Bangalore,2018,Overseas,2.2,7,True
Nathan Coulter-Nile,Bowler,80000000,Mumbai Indians,2020,Overseas,8.0,7,True
Nathan Coulter-Nile,Bowler,50000000,Mumbai Indians,2021,Overseas,5.0,7,True
Nathan Coulter-Nile,Bowler,20000000,Rajasthan Royals,2022,Overseas,2.0,7,True
Nathan Ellis,Bowler,7500000,Punjab Kings,2022,Overseas,0.75,1,False
Nathan McCullum,Bowler,7500000,Sunrisers Hyderabad,2013,Overseas,0.75,1,False
Nathu Singh,Bowler,32000000,Mumbai Indians,2016,Indian,3.2,3,True
Nathu Singh,Bowler,5000000,Gujarat Lions,2017,Indian,0.5,3,True
Nathu Singh,Bowler,2000000,Delhi Capitals,2019,Indian,0.2,3,True
Navdeep Saini,Bowler,1000000,Delhi Daredevils,2017,Indian,0.1,3,True
Navdeep Saini,Bowler,30000000,Royal Challengers Bangalore,2018,Indian,3.0,3,True
Navdeep Saini,Bowler,26000000,Rajasthan Royals,2022,Indian,2.6,3,True
Nic Maddinson,Batsman,5000000,Royal Challengers Bangalore,2014,Overseas,0.5,1,False
Nicolas Pooran,Wicket Keeper,107500000,Sunrisers Hyderabad,2022,Overseas,10.75,3,True
Nicolas Pooran,Wicket Keeper,3000000,Mumbai Indians,2017,Overseas,0.3,3,True
Nicolas Pooran,Wicket Keeper,42000000,Kings XI Punjab,2019,Overseas,4.2,3,True
Nidheesh M D Dinesan,Bowler,2000000,Mumbai Indians,2018,Indian,0.2,1,False
