Player,Role,Amount,Team,Year,Player_Origin,Amount_Cr,Count,Repeated
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian,0.1,1,False
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian,0.1,1,False
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,0.1,2,True
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian,0.2,2,True
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian,1.5,3,True
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian,3.0,3,True
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian,0.5,3,True
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian,0.1,4,True
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian,0.2,4,True
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian,0.8,2,True
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian,0.2,2,True
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas,0.2,1,False
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian,0.2,1,False
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian,0.8,2,True
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian,3.4,2,True
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian,0.2,2,True
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian,0.2,2,True
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian,0.2,1,False
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian,0.2,2,True
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian,0.3,2,True
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian,0.1,2,True
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian,0.2,2,True
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian,0.2,2,True
